The training set: set 5
********************0********************
Current learning rate: 0.01
Epoch: [0][  0/292]	Loss 2.0631 (2.0631)	Accuracy 15.625 (15.625)
Epoch: [0][ 10/292]	Loss 3.5505 (3.0194)	Accuracy  9.375 (20.455)
Epoch: [0][ 20/292]	Loss 2.0626 (2.7815)	Accuracy  6.250 (18.304)
Epoch: [0][ 30/292]	Loss 1.8319 (2.4973)	Accuracy 18.750 (19.758)
Epoch: [0][ 40/292]	Loss 1.9510 (2.3694)	Accuracy 15.625 (19.436)
Epoch: [0][ 50/292]	Loss 1.8788 (2.2753)	Accuracy 15.625 (19.853)
Epoch: [0][ 60/292]	Loss 1.8934 (2.2091)	Accuracy  9.375 (20.338)
Epoch: [0][ 70/292]	Loss 1.7812 (2.1546)	Accuracy 28.125 (20.246)
Epoch: [0][ 80/292]	Loss 1.8697 (2.1082)	Accuracy 15.625 (20.448)
Epoch: [0][ 90/292]	Loss 1.6354 (2.0698)	Accuracy 37.500 (20.810)
Epoch: [0][100/292]	Loss 1.7037 (2.0442)	Accuracy 25.000 (20.637)
Epoch: [0][110/292]	Loss 1.8977 (2.0219)	Accuracy 21.875 (20.186)
Epoch: [0][120/292]	Loss 1.7927 (2.0065)	Accuracy 18.750 (20.170)
Epoch: [0][130/292]	Loss 1.6633 (1.9913)	Accuracy 28.125 (20.181)
Epoch: [0][140/292]	Loss 1.7344 (1.9768)	Accuracy 18.750 (20.146)
Epoch: [0][150/292]	Loss 1.8631 (1.9651)	Accuracy 12.500 (20.281)
Epoch: [0][160/292]	Loss 1.6815 (1.9561)	Accuracy 37.500 (20.497)
Epoch: [0][170/292]	Loss 1.8671 (1.9461)	Accuracy 15.625 (20.541)
Epoch: [0][180/292]	Loss 1.8802 (1.9406)	Accuracy 18.750 (20.787)
Epoch: [0][190/292]	Loss 1.7170 (1.9327)	Accuracy 25.000 (20.942)
Epoch: [0][200/292]	Loss 1.7688 (1.9252)	Accuracy 15.625 (20.973)
Epoch: [0][210/292]	Loss 1.8202 (1.9196)	Accuracy 18.750 (21.090)
Epoch: [0][220/292]	Loss 2.0289 (1.9142)	Accuracy  9.375 (21.210)
Epoch: [0][230/292]	Loss 2.0193 (1.9085)	Accuracy  9.375 (21.185)
Epoch: [0][240/292]	Loss 1.6740 (1.9026)	Accuracy 31.250 (21.369)
Epoch: [0][250/292]	Loss 1.6881 (1.8988)	Accuracy 28.125 (21.402)
Epoch: [0][260/292]	Loss 1.7870 (1.8946)	Accuracy 28.125 (21.528)
Epoch: [0][270/292]	Loss 1.8332 (1.8925)	Accuracy 12.500 (21.552)
Epoch: [0][280/292]	Loss 1.7162 (1.8901)	Accuracy 25.000 (21.530)
Epoch: [0][290/292]	Loss 1.6402 (1.8875)	Accuracy 31.250 (21.574)
Test: [ 0/73]	Loss 2.3360 (2.3360)	Accuracy  0.000 ( 0.000)
Test: [10/73]	Loss 1.7518 (1.8016)	Accuracy 28.125 (17.045)
Test: [20/73]	Loss 1.7390 (1.8003)	Accuracy 15.625 (19.792)
Test: [30/73]	Loss 1.8260 (1.7898)	Accuracy 18.750 (21.976)
Test: [40/73]	Loss 1.8289 (1.7971)	Accuracy 31.250 (21.951)
Test: [50/73]	Loss 1.7612 (1.7902)	Accuracy 21.875 (22.610)
Test: [60/73]	Loss 1.8742 (1.7909)	Accuracy 28.125 (22.797)
Test: [70/73]	Loss 1.6875 (1.7845)	Accuracy 21.875 (22.843)
Current Accuracy: 22.731
The best accuracy: 22.731164932250977
An epoch time: {:.1f}s97.33783102035522
********************1********************
Current learning rate: 0.01
Epoch: [1][  0/292]	Loss 1.8207 (1.8207)	Accuracy 18.750 (18.750)
Epoch: [1][ 10/292]	Loss 1.7155 (1.7612)	Accuracy 34.375 (26.989)
Epoch: [1][ 20/292]	Loss 1.7942 (1.7541)	Accuracy 25.000 (26.637)
Epoch: [1][ 30/292]	Loss 1.7455 (1.7616)	Accuracy 18.750 (25.504)
Epoch: [1][ 40/292]	Loss 1.7538 (1.7665)	Accuracy 28.125 (24.695)
Epoch: [1][ 50/292]	Loss 1.7319 (1.7709)	Accuracy 21.875 (24.203)
Epoch: [1][ 60/292]	Loss 1.8835 (1.7755)	Accuracy 12.500 (23.770)
Epoch: [1][ 70/292]	Loss 1.7986 (1.7735)	Accuracy 25.000 (23.988)
Epoch: [1][ 80/292]	Loss 1.7468 (1.7814)	Accuracy 37.500 (24.035)
Epoch: [1][ 90/292]	Loss 1.7393 (1.7806)	Accuracy 25.000 (24.004)
Epoch: [1][100/292]	Loss 1.8456 (1.7795)	Accuracy  6.250 (23.422)
Epoch: [1][110/292]	Loss 1.8015 (1.7795)	Accuracy 18.750 (22.917)
Epoch: [1][120/292]	Loss 1.8656 (1.7801)	Accuracy 15.625 (22.960)
Epoch: [1][130/292]	Loss 1.8078 (1.7825)	Accuracy 18.750 (22.877)
Epoch: [1][140/292]	Loss 1.8571 (1.7850)	Accuracy 18.750 (22.895)
Epoch: [1][150/292]	Loss 1.8348 (1.7866)	Accuracy 12.500 (22.724)
Epoch: [1][160/292]	Loss 1.6967 (1.7867)	Accuracy 34.375 (22.865)
Epoch: [1][170/292]	Loss 1.8427 (1.7861)	Accuracy 18.750 (22.752)
Epoch: [1][180/292]	Loss 1.7679 (1.7899)	Accuracy 21.875 (22.531)
Epoch: [1][190/292]	Loss 1.8410 (1.7909)	Accuracy 21.875 (22.497)
Epoch: [1][200/292]	Loss 1.7394 (1.7902)	Accuracy 18.750 (22.450)
Epoch: [1][210/292]	Loss 1.8342 (1.7916)	Accuracy 25.000 (22.275)
Epoch: [1][220/292]	Loss 1.6840 (1.7918)	Accuracy 31.250 (22.327)
Epoch: [1][230/292]	Loss 1.7131 (1.7910)	Accuracy 18.750 (22.294)
Epoch: [1][240/292]	Loss 1.7329 (1.7896)	Accuracy 28.125 (22.381)
Epoch: [1][250/292]	Loss 1.7395 (1.7894)	Accuracy 25.000 (22.410)
Epoch: [1][260/292]	Loss 1.8033 (1.7893)	Accuracy 28.125 (22.557)
Epoch: [1][270/292]	Loss 1.7911 (1.7875)	Accuracy 15.625 (22.625)
Epoch: [1][280/292]	Loss 1.7676 (1.7884)	Accuracy 18.750 (22.620)
Epoch: [1][290/292]	Loss 1.8740 (1.7885)	Accuracy 18.750 (22.627)
Test: [ 0/73]	Loss 2.3607 (2.3607)	Accuracy  0.000 ( 0.000)
Test: [10/73]	Loss 1.6462 (1.7777)	Accuracy 40.625 (22.727)
Test: [20/73]	Loss 1.7348 (1.7743)	Accuracy 28.125 (24.405)
Test: [30/73]	Loss 1.8795 (1.7675)	Accuracy 18.750 (25.806)
Test: [40/73]	Loss 1.8808 (1.7750)	Accuracy 25.000 (25.457)
Test: [50/73]	Loss 1.7348 (1.7725)	Accuracy 21.875 (25.245)
Test: [60/73]	Loss 1.8343 (1.7769)	Accuracy 37.500 (25.256)
Test: [70/73]	Loss 1.7424 (1.7729)	Accuracy 31.250 (25.616)
Current Accuracy: 25.642
The best accuracy: 25.642122268676758
An epoch time: {:.1f}s94.67655801773071
********************2********************
Current learning rate: 0.01
Epoch: [2][  0/292]	Loss 1.6691 (1.6691)	Accuracy 34.375 (34.375)
Epoch: [2][ 10/292]	Loss 1.7894 (1.7846)	Accuracy 40.625 (29.545)
Epoch: [2][ 20/292]	Loss 1.8575 (1.7973)	Accuracy 21.875 (26.786)
Epoch: [2][ 30/292]	Loss 1.7503 (1.7899)	Accuracy 18.750 (26.008)
Epoch: [2][ 40/292]	Loss 1.8227 (1.7937)	Accuracy 21.875 (25.076)
Epoch: [2][ 50/292]	Loss 1.7801 (1.7961)	Accuracy 21.875 (25.061)
Epoch: [2][ 60/292]	Loss 1.8372 (1.7899)	Accuracy 18.750 (24.641)
Epoch: [2][ 70/292]	Loss 1.7489 (1.7820)	Accuracy 21.875 (24.472)
